PID,ST_NUM,ST_NAME,CITY,ZIP_CODE,LU,GROSS_AREA,LAND_SF,AV_TOTAL,LON,LAT
CHE-0001,25,BROADWAY,Chelsea,02150,440,27965,21096,393265,-71.040129,42.401322
CHE-0002,215,BROADWAY,Chelsea,02150,300,9944,20056,1930562,-71.047851,42.391791
CHE-0003,115,BROADWAY,Chelsea,02150,400,7249,9244,345381,-71.046905,42.399749
CHE-0004,74,BROADWAY,Chelsea,02150,300,40717,28742,908021,-71.04276,42.40016
CHE-0005,191,BROADWAY,Chelsea,02150,400,40986,3953,2746314,-71.034027,42.396561
CHE-0006,398,ESSEX ST,Chelsea,02150,401,42375,16849,1666586,-71.036707,42.395453
CHE-0007,400,REVERE ST,Chelsea,02150,440,41645,11838,2352833,-71.045506,42.39223
CHE-0008,148,BROADWAY,Chelsea,02150,101,37550,15701,841901,-71.031764,42.400377
CHE-0009,21,BROADWAY,Chelsea,02150,440,26290,24783,1618754,-71.037776,42.390976
CHE-0010,36,BROADWAY,Chelsea,02150,300,35070,24840,2935656,-71.030078,42.395457
CHE-0011,332,WASHINGTON AVE,Chelsea,02150,400,50964,14641,2954532,-71.032463,42.389789
CHE-0012,87,BROADWAY,Chelsea,02150,440,7863,9150,1355576,-71.038458,42.389293
CHE-0013,470,WASHINGTON AVE,Chelsea,02150,401,14902,16718,1834618,-71.040053,42.398599
CHE-0014,221,ESSEX ST,Chelsea,02150,300,27512,24371,1745686,-71.046577,42.392612
CHE-0015,119,REVERE ST,Chelsea,02150,401,35782,29233,2620963,-71.045595,42.390962
CHE-0016,215,ESSEX ST,Chelsea,02150,401,12224,24626,2312127,-71.049898,42.392416
CHE-0017,234,WASHINGTON AVE,Chelsea,02150,300,30147,14914,584266,-71.031505,42.397515
CHE-0018,35,REVERE ST,Chelsea,02150,101,14636,5602,1576288,-71.048444,42.397246
CHE-0019,78,BROADWAY,Chelsea,02150,300,44221,2835,444924,-71.049994,42.389683
CHE-0020,130,ESSEX ST,Chelsea,02150,401,35073,6025,633827,-71.046286,42.396983
CHE-0021,248,ESSEX ST,Chelsea,02150,101,13444,5348,1587118,-71.03835,42.40191
CHE-0022,83,BROADWAY,Chelsea,02150,320,38619,13853,764895,-71.029279,42.392442
CHE-0023,271,ESSEX ST,Chelsea,02150,320,49625,29703,1245196,-71.049324,42.396061
CHE-0024,396,REVERE ST,Chelsea,02150,300,45709,9308,2722065,-71.045824,42.393767
CHE-0025,379,REVERE ST,Chelsea,02150,401,37923,18147,1641337,-71.029542,42.399479
CHE-0026,144,WASHINGTON AVE,Chelsea,02150,320,16690,24692,2688137,-71.049302,42.389377
CHE-0027,179,ESSEX ST,Chelsea,02150,440,18448,5347,1101460,-71.026574,42.394814
CHE-0028,320,BROADWAY,Chelsea,02150,101,46793,13272,2847495,-71.044891,42.391557
CHE-0029,199,REVERE ST,Chelsea,02150,400,15699,16218,2816915,-71.047002,42.39985
CHE-0030,370,WASHINGTON AVE,Chelsea,02150,440,30305,26358,506177,-71.026346,42.390128
REV-0001,15,REVERE ST,Revere,02151,320,56854,23491,763099,-70.97531,42.398971
REV-0002,337,ESSEX ST,Revere,02151,300,39956,19966,699386,-70.975886,42.415663
REV-0003,333,BROADWAY,Revere,02151,400,32430,8383,1035175,-70.97631,42.395356
REV-0004,124,ESSEX ST,Revere,02151,400,39674,15730,699762,-71.006817,42.401296
REV-0005,235,WASHINGTON AVE,Revere,02151,400,38853,6975,2345745,-71.00408,42.41775
REV-0006,94,BROADWAY,Revere,02151,300,15294,6638,2135973,-71.000194,42.395468
REV-0007,167,WASHINGTON AVE,Revere,02151,300,40719,3861,1192260,-70.994959,42.41313
REV-0008,260,WASHINGTON AVE,Revere,02151,401,53806,4076,2009118,-70.985248,42.401923
REV-0009,263,REVERE ST,Revere,02151,440,33644,18651,2386761,-70.99725,42.410313
REV-0010,268,ESSEX ST,Revere,02151,101,59050,16664,725183,-71.008855,42.407694
REV-0011,38,REVERE ST,Revere,02151,101,8792,8969,2957969,-71.000105,42.398041
REV-0012,80,ESSEX ST,Revere,02151,440,20587,6497,2111826,-70.979634,42.414598
REV-0013,454,WASHINGTON AVE,Revere,02151,401,47767,29277,1088316,-71.015764,42.413667
REV-0014,207,ESSEX ST,Revere,02151,401,16828,13685,1485993,-70.975267,42.412658
REV-0015,284,WASHINGTON AVE,Revere,02151,400,50081,2592,1762057,-71.019123,42.413054
REV-0016,492,BROADWAY,Revere,02151,440,55666,9489,589477,-71.006705,42.407936
REV-0017,399,REVERE ST,Revere,02151,400,53530,6245,1921062,-71.018219,42.401639
REV-0018,77,WASHINGTON AVE,Revere,02151,320,9862,11144,391283,-71.008363,42.415474
REV-0019,138,BROADWAY,Revere,02151,320,56535,10537,501241,-70.979712,42.399584
REV-0020,442,BROADWAY,Revere,02151,300,4756,13113,2469719,-71.017002,42.416406
REV-0021,67,BROADWAY,Revere,02151,101,11173,7290,1248468,-71.007946,42.418167
REV-0022,322,ESSEX ST,Revere,02151,400,23002,16604,2247523,-70.978049,42.399529
REV-0023,10,ESSEX ST,Revere,02151,320,5005,2604,2270866,-71.004385,42.399447
REV-0024,126,WASHINGTON AVE,Revere,02151,300,47143,28834,2876742,-70.996859,42.419451
REV-0025,456,WASHINGTON AVE,Revere,02151,101,49071,9051,1112870,-70.995434,42.411413
REV-0026,374,REVERE ST,Revere,02151,440,26777,3782,694498,-70.980313,42.399966
REV-0027,131,WASHINGTON AVE,Revere,02151,400,7630,4768,2940167,-70.98666,42.396768
REV-0028,145,REVERE ST,Revere,02151,101,6964,17055,927422,-70.989826,42.416763
REV-0029,187,ESSEX ST,Revere,02151,401,20020,3128,1448338,-71.019837,42.401726
REV-0030,196,BROADWAY,Revere,02151,401,22279,18474,2901538,-71.019952,42.403915
